species,habitat,citation,alternate_classification,aspect_ratio,Adult_Dorsal_aspect_ratio,Adult_anal_aspect_ratio,Adult_dorsal_incidence_angle,Adult_anal_incidence_angle,Adult_Body_RW1,Adult_Body_RW2,Adult_Body_RW3,Adult_Dfin_RW1,Adult_Dfin_RW2,Adult_Dfin_RW3,Adult_AfinRW1,Adult_AfinRW2,Adult_AfinRW3,,Juvi_Dorsal_aspect_ratio,Juvi_anal_aspect_ratio,Juvi_dorsal_incidence_angle,Juvi_anal_incidence_angle,Juvi_Body_RW1,Juvi_Body_RW2,Juvi_Body_RW3,Juvi_Dfin_RW1,Juvi_Dfin_RW2,Juvi_Dfin_RW3,Juvi_AfinRW1,Juvi_AfinRW2,Juvi_AfinRW3,notes,3 adult habitat,Simplified_Habiat_Adult,Habiat_Adult,3 juvi habitat,habitat juvenile simple,Habitat_Juv,A water column,species,Adult A+J Dorsal1,Adult A+J Dorsal2,Adult A+J Dorsal3,Adult A+J Anal1,Adult A+J Anal2,Adult A+J Anal3,Juv A+J Dorsal1,Juv A+J Dorsal2,Juv A+J Dorsal3,Juv A+J Anal1,Juv A+J Anal2,Juv A+J Anal3,Adult A+J Bodyl1,Adult A+J Body2,Adult A+J Body3,Juvi A+J Bodyl1,Juvi A+J Body2,Juvi A+J Body3,Common TL (cm),Max TL
Rhinecanthus_lunula,reef,"Bacchet, P., T. Zysman and Y. Lefvre, 2006. Guide des poissons de Tahiti et ses îles. Tahiti (Polyn_sie Francaise): Editions Au Vent des Ôles. 608 p.",reef,low,0.43,0.554,30,29,2.42E-02,-5.31E-02,-7.68E-02,-1.14E-01,1.64E-02,-3.11E-02,-1.79E-02,-6.39E-04,6.67E-02,Rhinecanthus_lunula,,,,,,,,,,,,,,,2,6,6,999,999,999,,Rhinecanthus_lunula,7.84E-02,4.95E-02,2.89E-02,3.75E-03,-3.77E-03,-3.13E-02,,,,,,,,,,,,,,28
Rhinecanthus_rectangulus,reef,"Myers, R.F., 1991. Micronesian reef fishes. Second Ed. Coral Graphics, Barrigada, Guam. 298 p.",reef,low,0.5,0.54,32.8,31.3,1.08E-02,-2.36E-02,-6.49E-02,-1.09E-01,6.18E-02,3.63E-02,-4.99E-02,-1.63E-02,2.47E-02,Rhinecanthus_rectangulus,0.4429744,0.4961708,33.5,33,-1.11E-02,-5.76E-02,2.55E-03,-3.00E-02,5.85E-02,1.96E-03,-3.00E-02,5.85E-02,1.96E-03,,3.00E+00,15,"1,6,12",1,12,12,,Rhinecanthus_rectangulus,5.53E-02,1.08E-01,4.25E-02,-3.15E-02,1.02E-02,1.88E-02,7.99E-02,-4.30E-02,4.46E-02,-1.88E-02,-3.77E-02,-3.21E-02,,,,,,,,30
Rhinecanthus_verrucosus,reef,"Myers, R.F., 1991. Micronesian reef fishes. Second Ed. Coral Graphics, Barrigada, Guam. 298 p.",reef,low,0.39,0.43,32.9,28.2,5.41E-03,-2.98E-02,-5.18E-02,-8.35E-02,2.44E-02,-2.94E-03,-8.60E-02,4.71E-02,2.95E-02,Rhinecanthus_verrucosus,0.4924246,0.45,35,33.5,-2.96E-02,-3.71E-02,-4.06E-02,-4.11E-02,-8.38E-02,-2.54E-02,-4.11E-02,-8.38E-02,-2.54E-02,,1.00E+00,14,"2,4,12",1,14,"3,12",,Rhinecanthus_verrucosus,3.72E-02,6.85E-02,2.38E-02,-8.22E-02,4.40E-02,-2.49E-02,1.15E-01,-4.84E-02,-8.34E-02,-6.73E-02,-3.50E-02,2.19E-03,,,,,,,19,23
Sufflamen_albicaudatum,reef,"Kuiter, R.H. and T. Tonozuka, 2001. Pictorial guide to Indonesian reef fishes. Part 3. Jawfishes - Sunfishes, Opistognathidae - Molidae. Zoonetics, Australia. p. 623-893.",reef,low,0.38,0.39,32,27,2.27E-02,2.47E-02,-4.10E-03,-9.08E-02,7.35E-02,9.20E-03,-8.69E-02,1.04E-01,4.67E-02,Sufflamen_albicaudatum,0.4408163,0.4948328,33,33,-6.06E-02,-1.81E-03,4.89E-03,-2.54E-02,9.19E-02,5.47E-02,-2.54E-02,9.19E-02,5.47E-02,,1.00E+00,1,1,999,999,999,,Sufflamen_albicaudatum,3.79E-02,9.06E-02,7.11E-02,-9.69E-02,7.30E-02,-7.46E-02,3.18E-02,-6.10E-03,8.69E-02,-3.88E-02,2.00E-02,-1.04E-01,,,,,,,,22
Sufflamen_bursa,reef,"Myers, R.F., 1991. Micronesian reef fishes. Second Ed. Coral Graphics, Barrigada, Guam. 298 p.",reef,low,0.46,0.5,31,29,1.62E-02,7.20E-03,-2.28E-02,-9.15E-02,-3.38E-02,-5.18E-03,-8.01E-02,-2.32E-02,4.29E-03,Sufflamen_bursa,0.4728141,0.4879518,31,32,-2.47E-02,2.66E-03,-1.16E-02,-3.44E-02,5.66E-02,-2.98E-03,-3.44E-02,5.66E-02,-2.98E-03,on outerreef but below surge zone,1.00E+00,14,"6,12,8",1,12,12,,Sufflamen_bursa,5.01E-02,6.06E-02,-3.44E-02,-5.83E-02,2.82E-03,3.74E-02,3.67E-02,-1.68E-02,4.73E-02,6.54E-03,1.12E-02,-2.45E-02,,,,,,,,25
Sufflamen_chrysopterum,reef,"Myers, R.F., 1991. Micronesian reef fishes. Second Ed. Coral Graphics, Barrigada, Guam. 298 p.",reef,low,0.55,0.5,33,32,2.17E-02,-4.85E-03,-2.52E-02,-8.12E-02,6.90E-02,9.84E-03,-6.39E-02,6.32E-02,-1.42E-02,Sufflamen_chrysopterum,0.5094421,0.4800901,33,33,-1.47E-02,-4.01E-03,-1.04E-02,-1.02E-01,-2.52E-02,-3.16E-02,-1.02E-01,-2.52E-02,-3.16E-02,,3.00E+00,15,"1,4,6",1,14,"2,12",,Sufflamen_chrysopterum,2.63E-02,1.01E-01,6.12E-02,-6.92E-02,8.02E-02,-7.99E-03,6.55E-02,3.57E-02,-3.90E-02,-1.30E-01,8.77E-02,-1.15E-02,,,,,,,,30
Sufflamen_fraenatum,reef,"Myers, R.F., 1991. Micronesian reef fishes. Second Ed. Coral Graphics, Barrigada, Guam. 298 p.",reef,low,0.41,0.411,32,35,1.86E-02,1.15E-02,-3.07E-02,-9.84E-02,7.38E-02,7.54E-02,-6.08E-02,8.05E-02,-5.58E-04,Sufflamen_fraenatum,0.5026087,0.4827815,36,36,-2.23E-02,-2.49E-02,2.80E-02,-3.29E-02,-2.79E-02,4.41E-02,-3.29E-02,-2.79E-02,4.41E-02,,1.00E+00,14,"1,11,12",1,2,2,,Sufflamen_fraenatum,3.55E-02,1.46E-01,4.44E-02,-6.92E-02,9.09E-02,-2.73E-02,8.65E-02,-1.50E-02,-1.76E-02,-3.64E-02,-1.86E-02,2.07E-02,,,,,,,26,38
Sufflamen_verres,reef,fishes_baja_california_guide,reef,low,0.56,0.6,34.6,28.6,3.38E-02,1.89E-02,-2.52E-02,-9.33E-02,-1.03E-01,-2.68E-02,-8.02E-02,1.34E-02,-9.42E-03,Sufflamen_verres,,,,,,,,,,,,,,,1,14,"1,11",999,999,999,,Sufflamen_verres,5.90E-02,2.50E-02,-1.05E-01,-7.01E-02,4.18E-02,2.01E-02,,,,,,,,,,,,,30,40
Xanthichthys_auromarginatus,non_reef,"Kuiter, R.H. and T. Tonozuka, 2001. Pictorial guide to Indonesian reef fishes. Part 3. Jawfishes - Sunfishes, Opistognathidae - Molidae. Zoonetics, Australia. p. 623-893.",structure,medium,1.09,1.11,27,27,7.94E-02,1.75E-02,3.82E-02,7.58E-02,-3.45E-02,8.95E-04,2.79E-02,-1.30E-02,-1.05E-01,Xanthichthys_auromarginatus,,,,,,,,,,,,,,,2.00E+00,13,"7,6,8",999,999,999,1,Xanthichthys_auromarginatus,-1.19E-01,3.40E-02,-2.29E-02,3.12E-02,1.17E-01,1.02E-01,,,,,,,,,,,,,,30
Xanthichthys_lineopunctatus,reef,"Kuiter, R.H. and T. Tonozuka, 2001. Pictorial guide to Indonesian reef fishes. Part 3. Jawfishes - Sunfishes, Opistognathidae - Molidae. Zoonetics, Australia. p. 623-893.",reef,medium,0.9,1.07,29.5,24.75,6.97E-02,3.83E-02,2.80E-02,4.19E-03,-6.87E-02,-3.14E-03,-4.23E-02,-9.03E-02,-9.34E-02,Xanthichthys_lineopunctatus,0.5272076,0.4804805,33,35,-4.08E-02,-6.25E-02,-1.92E-03,-3.38E-02,1.57E-02,-4.11E-02,-3.38E-02,1.57E-02,-4.11E-02,,2.00E+00,6,6,999,999,999,3,Xanthichthys_lineopunctatus,-4.11E-02,3.67E-02,-5.81E-02,-1.82E-02,3.97E-02,1.50E-01,7.28E-02,-3.92E-02,1.64E-02,-1.47E-01,1.64E-03,-4.77E-02,,,,,,,,30
Xanthichthys_mento,reef,"Kuiter, R.H. and T. Tonozuka, 2001. Pictorial guide to Indonesian reef fishes. Part 3. Jawfishes - Sunfishes, Opistognathidae - Molidae. Zoonetics, Australia. p. 623-893.",reef_current,medium,1.08,1.49,19,23,1.14E-01,-1.29E-03,3.80E-02,7.81E-02,-6.64E-02,1.10E-01,1.17E-01,2.32E-02,-1.79E-01,Xanthichthys_mento,,,,,,,,,,,,,,,3,15,"8,11",999,999,999,1,Xanthichthys_mento,-1.46E-01,1.23E-01,-8.03E-02,1.01E-01,2.05E-01,1.25E-01,,,,,,,,,,,,,,30
Xanthichthys_ringens,reef,"Lieske, E. and R. Myers, 1994. Collins Pocket Guide. Coral reef fishes. Indo-Pacific & Caribbean including the Red Sea. Haper Collins Publishers, 400 p.",reef_current,medium,0.97,0.89,24.8,27.9,8.05E-02,1.63E-02,2.80E-02,-6.25E-03,-1.93E-01,1.76E-02,-2.66E-02,-8.23E-02,-1.10E-01,Xanthichthys_ringens,0.58,0.56,41,32,-3.04E-02,-5.22E-02,7.33E-03,-3.84E-02,7.64E-02,-1.92E-02,-3.84E-02,7.64E-02,-1.92E-02,,2.00E+00,8,8,1,9,9,,Xanthichthys_ringens,-3.51E-02,3.57E-02,-1.86E-01,-5.79E-03,5.48E-02,1.56E-01,2.26E-03,-6.02E-03,5.30E-02,-4.72E-02,6.51E-02,-5.12E-02,,,,,,,,25
