generation,leftchild,rightchild,abstime,betainit,betashift
220000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.04686,-0.0936553
225000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0141648,-0.0199718
225000,Balistapus_undulatus,NA,8.9879,0.00258639,-0.146059
230000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0359191,-0.0679103
235000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.00725981,0.00738582
240000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0381627,-0.106241
240000,Melichthys_niger,Odonus_niger,3.54895,0.00541272,-0.023484
240000,Xanthichthys_ringens,Xanthichthys_lineopunctatus,14.7706,0.00361104,0.00309173
245000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.00700294,0.0366611
245000,Pseudobalistes_naufragium,NA,15.7786,0.0553037,-0.116145
245000,Canthidermis_maculata,Canthidermis_sufflamen,15.8915,0.0213547,0.0722633
245000,Balistapus_undulatus,NA,16.4206,0.000629887,0.031383
245000,Melichthys_niger,Xanthichthys_ringens,2.66063,0.00522288,0.0353402
250000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0167986,-0.0362071
255000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.00869977,-0.0262247
260000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0315289,-0.0536352
265000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0398081,-0.0939166
270000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0129373,-0.0862463
275000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0182011,-0.0574577
280000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0436828,-0.108809
285000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0331922,-0.108809
285000,Balistoides_viridescens,NA,20.3101,0.0918777,-0.0435294
290000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0423674,-0.0275612
290000,Odonus_niger,NA,19.3109,0.0961709,-0.000476231
295000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0238883,-0.0551814
300000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.029372,-0.07316
305000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.00902361,-0.078458
305000,Canthidermis_maculata,Canthidermis_sufflamen,5.08848,0.047016,0.0125302
310000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0105487,-0.058382
310000,Balistoides_conspicillum,NA,16.2856,0.0209145,-0.0312506
315000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0217341,-0.0541782
320000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0191937,-0.0762413
325000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0168787,-0.0287479
325000,Balistes_capriscus,Balistes_vetula,6.97782,0.0204682,0.00987413
325000,Balistoides_viridescens,Pseudobalistes_flavimarginatus,10.1377,0.0379919,-0.047112
330000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.00395882,-0.0149416
330000,Pseudobalistes_naufragium,NA,12.774,0.0355474,0.0115398
330000,Canthidermis_maculata,Canthidermis_sufflamen,7.69722,0.0287554,-0.00449726
330000,Odonus_niger,NA,12.2399,0.0254043,0.0239791
335000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.017418,-0.0514734
335000,Rhinecanthus_verrucosus,NA,18.6649,0.00456815,-0.0921808
335000,Rhinecanthus_aculeatus,Sufflamen_albicaudatum,5.4279,0.00799082,-0.00921255
335000,Canthidermis_maculata,Canthidermis_sufflamen,8.06204,0.00504675,0.0600396
335000,Odonus_niger,NA,14.4472,0.0182439,-0.0405728
340000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.00520878,0.0233401
345000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0235076,-0.0281757
345000,Pseudobalistes_fuscus,NA,11.624,0.0459931,0.038051
345000,Canthidermis_maculata,Canthidermis_sufflamen,4.59976,0.020205,-0.00825625
345000,Canthidermis_maculata,Canthidermis_sufflamen,14.7336,0.0182665,0.0513603
345000,Balistapus_undulatus,NA,8.58766,0.0173652,-0.00193318
345000,Odonus_niger,NA,7.65635,0.0622335,-0.0368451
350000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.00860575,0.00842613
355000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0088923,-0.0341201
360000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.00296851,0.0162996
360000,Rhinecanthus_aculeatus,Rhinecanthus_verrucosus,14.3645,0.0270076,-0.00340436
360000,Canthidermis_maculata,Canthidermis_sufflamen,8.38023,0.0486949,-0.0851508
365000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.00593109,0.0348141
365000,Canthidermis_maculata,Canthidermis_sufflamen,6.38136,0.0305449,-0.0275733
370000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.00676239,0.0784073
375000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0122518,-0.0325164
380000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0172153,-0.0757101
385000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.00897484,0.0161584
385000,Pseudobalistes_naufragium,NA,18.648,0.00362497,0.0327613
390000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.00721444,-0.0249525
390000,Canthidermis_maculata,Canthidermis_sufflamen,6.90546,0.0585403,-0.00340342
390000,Rhinecanthus_aculeatus,NA,20.358,0.0306144,-0.101933
395000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0110216,-0.0375473
395000,Balistes_capriscus,Balistes_vetula,8.12747,0.000221117,0.021865
400000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.019654,-0.0304794
405000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0087479,-0.0103005
410000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.00845164,-0.00466207
415000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0381086,-0.11072
420000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0218141,-0.049793
420000,Odonus_niger,NA,20.2815,0.0465533,0.119719
425000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0108837,-0.0387697
430000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.00804752,-0.00386902
430000,Xanthichthys_lineopunctatus,NA,18.6309,0.0228765,0.000478638
435000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.00717179,0.00529014
435000,Canthidermis_maculata,Canthidermis_sufflamen,4.83726,0.0800593,-0.0230967
435000,Odonus_niger,NA,20.4182,0.127546,0.0661401
440000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0105215,-0.0840449
440000,Canthidermis_maculata,Canthidermis_sufflamen,7.05586,0.057387,-0.0933889
440000,Balistapus_undulatus,NA,18.6412,0.00484984,0.0216862
440000,Xanthichthys_ringens,Xanthichthys_lineopunctatus,16.2773,0.0198017,-0.0474047
440000,Balistoides_viridescens,Pseudobalistes_flavimarginatus,15.1762,0.0284223,-0.0577716
445000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.00937081,-0.00816825
445000,Canthidermis_maculata,Canthidermis_sufflamen,7.10354,0.0351122,0.0618376
450000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0077105,0.0485517
455000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.00455827,0.0290019
455000,Canthidermis_maculata,Canthidermis_sufflamen,14.3351,0.0365614,0.0171416
460000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.00923304,0.0427467
465000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0141435,-0.0160671
470000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0076762,-0.0236167
470000,Rhinecanthus_rectangulus,NA,16.802,0.124663,-0.0351693
470000,Pseudobalistes_fuscus,NA,18.6397,0.000576577,0.0468025
470000,Balistes_capriscus,Canthidermis_maculata,3.37267,0.020923,-0.0626981
470000,Balistoides_conspicillum,NA,18.1095,0.0164603,-0.0105264
475000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.00828123,0.0333849
480000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0115939,-0.0456169
485000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.00503464,0.00456978
485000,Canthidermis_maculata,Canthidermis_sufflamen,6.52159,0.0330773,-0.00526303
490000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.00593231,-0.0254591
490000,Canthidermis_maculata,Canthidermis_sufflamen,10.6527,0.0153264,-0.00924307
495000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.00546926,0.00998414
500000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.00269649,0.054601
500000,Canthidermis_maculata,Canthidermis_sufflamen,5.31459,0.0194889,-0.0208087
505000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.00339636,0.0162519
505000,Rhinecanthus_aculeatus,Balistes_capriscus,1.68817,0.0260684,-0.090664
510000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.012267,-0.0383863
515000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.00359523,0.033974
515000,Canthidermis_maculata,Canthidermis_sufflamen,12.764,0.0352004,0.0334093
520000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.00642855,0.0267875
525000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.00956993,0.0290978
530000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.00990714,0.0153323
530000,Melichthys_niger,NA,14.4097,0.00592041,0.0735258
535000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0237924,-0.0386071
535000,Pseudobalistes_naufragium,NA,18.1498,0.0335847,0.064866
535000,Pseudobalistes_naufragium,NA,19.9018,0.0258813,-0.054338
540000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.00744719,-0.0485183
540000,Canthidermis_maculata,Canthidermis_sufflamen,8.60822,0.0539125,0.0302327
540000,Balistapus_undulatus,NA,14.0091,0.00182602,-0.0407496
540000,Balistapus_undulatus,NA,19.2327,0.00253446,0.106342
540000,Balistes_vetula,NA,17.3306,0.00802592,0.0116206
545000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0081832,0.0012111
550000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.012602,-0.0295395
555000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0113602,-0.0582732
555000,Abalistes_stellaris,NA,18.7095,0.0318827,0.00560039
555000,Balistoides_conspicillum,NA,9.67392,0.0651267,-0.124366
555000,Xanthichthys_ringens,Balistoides_viridescens,3.04992,0.00417978,0.0151987
560000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0161479,-0.0753874
565000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0304407,-0.092052
565000,Sufflamen_bursa,NA,17.7831,0.0611806,0.00161234
570000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0243085,-0.091274
575000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0266883,-0.049918
580000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.00293204,0.006756
580000,Canthidermis_maculata,Canthidermis_sufflamen,7.45512,0.00571539,0.0246819
580000,Odonus_niger,NA,19.5547,0.00196473,-0.00429308
585000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.00485361,0.0965148
590000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0201037,-0.0480091
595000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.00684326,0.0412785
600000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0106813,-0.0578735
600000,Canthidermis_maculata,Canthidermis_sufflamen,11.4791,0.075878,-0.0454056
600000,Balistapus_undulatus,NA,18.9593,0.0412644,0.0137352
605000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0272615,-0.130241
610000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0988237,-0.13775
615000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0708532,-0.153749
620000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0339538,-0.110448
625000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0182848,-0.05791
630000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0090821,0.00456859
635000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0161745,-0.0237718
640000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.00886846,-0.0155605
640000,Canthidermis_maculata,Canthidermis_sufflamen,5.57892,0.0750213,0.0639214
645000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.00979191,-0.0400939
645000,Abalistes_stellaris,NA,16.3884,0.0197506,-0.0101674
645000,Canthidermis_maculata,Canthidermis_sufflamen,7.81776,0.0443789,-0.00947258
650000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0313427,-0.0701319
650000,Xanthichthys_ringens,NA,18.7115,0.00175681,-0.0640232
655000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0091699,-0.0184991
660000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0195534,-0.0859459
660000,Balistapus_undulatus,NA,10.8864,0.0414038,0.0633246
665000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0254829,-0.110594
665000,Abalistes_stellaris,NA,10.4366,0.0373874,0.00171386
665000,Melichthys_niger,Balistapus_undulatus,7.90593,0.00372343,-0.137224
670000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0203407,-0.0821334
