generation,leftchild,rightchild,abstime,betainit,betashift
205000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0192141,-0.0118275
205000,Balistoides_conspicillum,NA,19.8654,0.172555,0.0206084
205000,Balistapus_undulatus,NA,10.6383,0.189473,-0.0243523
205000,Balistoides_viridescens,Pseudobalistes_flavimarginatus,14.0257,0.0095151,0.0951542
210000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0208251,-0.0445002
215000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.020494,0.00343774
220000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0162342,0.00137882
220000,Rhinecanthus_assasi,NA,20.3522,0.0411325,0.024734
220000,Abalistes_stellaris,NA,4.24955,0.0911481,0.114121
220000,Xanthichthys_ringens,Xanthichthys_lineopunctatus,15.9124,0.0053235,-0.0447315
225000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.00880508,0.0265257
230000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0166494,0.00214964
230000,Xanthichthys_lineopunctatus,NA,19.9865,0.0205294,0.0299461
235000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0188033,-0.00515722
240000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0408681,-0.0296746
245000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0306276,-0.0644591
250000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0651096,-0.077994
250000,Canthidermis_maculata,Canthidermis_sufflamen,3.46463,0.01826,0.0251437
255000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0448915,-0.0727091
255000,Balistes_capriscus,NA,16.3536,0.0756852,0.0283718
260000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0183671,-0.0594573
265000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0294453,-0.0768388
265000,Balistoides_viridescens,Pseudobalistes_flavimarginatus,15.2337,0.0728996,-0.0327178
270000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.00783486,0.0052719
270000,Balistes_capriscus,NA,13.8281,0.0321699,0.0768382
270000,Canthidermis_maculata,Canthidermis_sufflamen,11.8496,0.0482563,0.0473414
270000,Odonus_niger,NA,13.5094,0.0994696,0.00355277
275000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0250929,-0.0579523
280000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0179361,-0.0294504
285000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0223424,-0.0337081
285000,Abalistes_stellaris,NA,17.3748,0.00276475,0.0616101
285000,Canthidermis_sufflamen,NA,20.147,0.102149,0.0148539
285000,Balistoides_conspicillum,NA,13.7339,0.0547055,-0.0388326
285000,Balistapus_undulatus,NA,19.8876,0.0159148,0.0322447
285000,Balistoides_viridescens,Pseudobalistes_flavimarginatus,9.62718,0.118214,0.112031
290000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0266411,-0.0233511
295000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.00795798,0.0683395
295000,Pseudobalistes_fuscus,NA,19.3944,0.0255174,-0.0660841
300000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0117448,-0.000252301
300000,Sufflamen_fraenatum,NA,16.2055,0.0123526,-0.0563795
300000,Balistes_vetula,NA,15.9097,0.0136666,0.0347498
305000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0124719,0.0846281
305000,Balistoides_viridescens,Pseudobalistes_flavimarginatus,10.5953,0.247159,-0.0300127
310000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0134411,0.0169744
315000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0108115,0.0517487
320000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0314499,-0.0668665
320000,Balistes_vetula,NA,20.403,0.146789,0.00510734
320000,Balistoides_viridescens,Pseudobalistes_flavimarginatus,14.3102,0.0484256,-0.08562
325000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0111535,-0.0498602
325000,Abalistes_stellaris,NA,17.8696,0.0578428,-0.0594893
325000,Melichthys_niger,Xanthichthys_ringens,1.47315,0.0517346,-0.0726776
330000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.018959,-0.055044
335000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0162862,-0.036941
340000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0180851,-0.0575284
340000,Sufflamen_fraenatum,NA,17.4181,0.0634871,0.0473157
340000,Balistoides_conspicillum,NA,19.8246,0.0228227,-0.0547069
340000,Balistoides_viridescens,Pseudobalistes_flavimarginatus,18.8772,0.159786,0.00646618
345000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0148426,-0.00788457
350000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0227156,-0.0740444
355000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0366475,-0.0740444
360000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0164598,0.0306277
365000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.00731973,0.022735
370000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0332653,-0.0479475
375000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0521083,-0.0567093
375000,Rhinecanthus_aculeatus,Rhinecanthus_verrucosus,8.74149,0.00314389,-0.00232631
380000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0282893,-0.0145937
385000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0399567,-0.103531
385000,Balistoides_conspicillum,NA,13.2527,0.0498985,0.0168372
385000,Balistoides_viridescens,Pseudobalistes_flavimarginatus,14.9819,0.0680171,0.0712826
390000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0315959,-0.0624285
395000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0429797,-0.0872226
395000,Abalistes_stellaris,NA,19.8398,0.0899422,0.00854508
400000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0142985,-0.0571983
400000,Sufflamen_bursa,NA,18.1554,0.01795,0.0314863
400000,Pseudobalistes_flavimarginatus,NA,20.3391,0.0736019,0.021636
405000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0485219,-0.0698595
410000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0103973,0.0453632
410000,Xanthichthys_ringens,Balistoides_viridescens,6.07678,0.00673937,0.0219695
415000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.045932,-0.030921
415000,Rhinecanthus_aculeatus,Balistes_capriscus,2.14151,0.0426077,-0.0975395
420000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0158792,-0.0300067
425000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0399186,-0.0992177
430000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0490444,-0.0745285
430000,Odonus_niger,NA,13.7222,0.041529,0.0199655
435000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0178737,-0.0229361
440000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.026235,-0.0428088
445000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0179404,-0.0306963
450000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0134682,-0.0306963
450000,Balistes_vetula,NA,17.8648,0.030781,0.0977489
455000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.00901909,0.0239464
455000,Balistoides_conspicillum,NA,15.3985,0.0790298,-0.0476766
460000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0085249,0.0273307
465000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.00687797,0.0408046
470000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0115094,-0.000418016
470000,Pseudobalistes_fuscus,Pseudobalistes_naufragium,8.75672,0.0241441,-0.0112434
475000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0148861,0.0508573
480000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.011263,0.108535
485000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0144435,0.0352031
490000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.00957698,0.0176204
495000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0266575,-0.0544344
500000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0315622,-0.0142576
500000,Sufflamen_albicaudatum,Sufflamen_chrysopterum,18.4711,0.00983657,-0.00524982
500000,Rhinecanthus_aculeatus,Sufflamen_albicaudatum,5.02534,0.000822045,-0.112306
500000,Pseudobalistes_fuscus,NA,11.0202,0.0672126,0.158499
500000,Abalistes_stellaris,NA,17.328,0.0554308,-0.00706123
500000,Pseudobalistes_fuscus,NA,17.037,0.0027216,-0.0172505
500000,Melichthys_niger,NA,19.9277,0.247577,0.0337542
500000,Xanthichthys_ringens,Xanthichthys_lineopunctatus,15.917,0.00282093,0.0344744
505000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.031583,-0.000759782
505000,Rhinecanthus_aculeatus,Abalistes_stellaris,3.7837,0.00411848,-0.0251802
510000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0159934,0.00261772
515000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.00903889,0.0235002
520000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0270735,-0.0251878
525000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.00859837,0.0525415
525000,Canthidermis_maculata,Canthidermis_sufflamen,6.87717,0.103803,0.0435311
525000,Balistoides_viridescens,Pseudobalistes_flavimarginatus,11.7087,0.0947333,0.0352635
530000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0119774,0.00970324
535000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0130001,0.00251163
540000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0154874,-0.00214232
540000,Pseudobalistes_fuscus,NA,19.7655,0.0275009,-0.0439507
545000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.00910457,0.010142
